player_name,nationality,is_retired,backed_up_at
A Athanaze,,,2026-04-23T13:39:47Z
A Balbirnie,,,2026-04-23T13:39:47Z
A Bosch,,,2026-04-23T13:39:47Z
A Brindle,,,2026-04-23T13:39:47Z
A Chopra,,,2026-04-23T13:39:47Z
A Dananjaya,,,2026-04-23T13:39:47Z
A Dercksen,,,2026-04-23T13:39:47Z
A Flintoff,,,2026-04-23T13:39:47Z
A Gardner,,,2026-04-23T13:39:47Z
A Hlubi,,,2026-04-23T13:39:47Z
A Kamboj,,,2026-04-23T13:39:47Z
A Khan,,,2026-04-23T13:39:47Z
A King,,,2026-04-23T13:39:47Z
A Kumble,,,2026-04-23T13:39:47Z
A Lyth,,,2026-04-23T13:39:47Z
A McGrath,,,2026-04-23T13:39:47Z
A Mishra,,,2026-04-23T13:39:47Z
A Mithun,,,2026-04-23T13:39:47Z
A Mukund,,,2026-04-23T13:39:47Z
A Ndlovu,,,2026-04-23T13:39:47Z
A Nehra,,,2026-04-23T13:39:47Z
A Nel,,,2026-04-23T13:39:47Z
A Nortje,,,2026-04-23T13:39:47Z
A Phillip,,,2026-04-23T13:39:47Z
A Shahzad,,,2026-04-23T13:39:47Z
A Sharma,,,2026-04-23T13:39:47Z
A Shrubsole,,,2026-04-23T13:39:47Z
A Steyn,,,2026-04-23T13:39:47Z
A Sutherland,,,2026-04-23T13:39:47Z
A Symonds,,,2026-04-23T13:39:47Z
A Wellington,,,2026-04-23T13:39:47Z
AA Jangoo,,,2026-04-23T13:39:47Z
Aamer Jamal,Pakistan,,2026-04-23T13:39:47Z
AAP Atkinson,,,2026-04-23T13:39:47Z
AB Agarkar,,,2026-04-23T13:39:47Z
AB Barath,,,2026-04-23T13:39:47Z
AB de Villiers,,,2026-04-23T13:39:47Z
AB Fudadin,,,2026-04-23T13:39:47Z
AB McDonald,,,2026-04-23T13:39:47Z
Abdul Razzaq,Pakistan,,2026-04-23T13:39:47Z
Abdullah Shafique,Pakistan,,2026-04-23T13:39:47Z
Abdur Rauf,Pakistan,,2026-04-23T13:39:47Z
Abdur Razzak,Bangladesh,,2026-04-23T13:39:47Z
Abdur Rehman,Pakistan,,2026-04-23T13:39:47Z
Abid Ali,Pakistan,,2026-04-23T13:39:47Z
Abrar Ahmed,Pakistan,,2026-04-23T13:39:47Z
Abu Jayed,Bangladesh,,2026-04-23T13:39:47Z
Abul Hasan,Bangladesh,,2026-04-23T13:39:47Z
AC Agar,,,2026-04-23T13:39:47Z
AC Gilchrist,,,2026-04-23T13:39:47Z
AC Voges,,,2026-04-23T13:39:47Z
AD Hales,,,2026-04-23T13:39:47Z
AD Mathews,,,2026-04-23T13:39:47Z
AD Russell,,,2026-04-23T13:39:47Z
Adnan Akmal,Pakistan,,2026-04-23T13:39:47Z
AE Jones,,,2026-04-23T13:39:47Z
AF Giles,,,2026-04-23T13:39:47Z
